date	country	value	key
3/17	United States	0	DeadCase
3/17	United States	0	CurrentCase
3/17	United States	0	RecoveredCase
3/17	Australia	0	DeadCase
3/17	Australia	0	CurrentCase
3/17	Australia	0	RecoveredCase
3/17	Belgium	0	DeadCase
3/17	Belgium	0	CurrentCase
3/17	Belgium	0	RecoveredCase
3/17	Brazil	0	DeadCase
3/17	Brazil	0	CurrentCase
3/17	Brazil	0	RecoveredCase
3/17	Bulgaria	0	DeadCase
3/17	Bulgaria	0	CurrentCase
3/17	Bulgaria	0	RecoveredCase
3/17	Canada	2	DeadCase
3/17	Canada	6	CurrentCase
3/17	Canada	0	RecoveredCase
3/17	China	1	DeadCase
3/17	China	94	CurrentCase
3/17	China	0	RecoveredCase
3/17	Colombia	0	DeadCase
3/17	Colombia	0	CurrentCase
3/17	Colombia	0	RecoveredCase
3/17	Finland	0	DeadCase
3/17	Finland	0	CurrentCase
3/17	Finland	0	RecoveredCase
3/17	France	0	DeadCase
3/17	France	0	CurrentCase
3/17	France	0	RecoveredCase
3/17	Germany	0	DeadCase
3/17	Germany	1	CurrentCase
3/17	Germany	0	RecoveredCase
3/17	India	0	DeadCase
3/17	India	0	CurrentCase
3/17	India	0	RecoveredCase
3/17	Indonesia	0	DeadCase
3/17	Indonesia	0	CurrentCase
3/17	Indonesia	0	RecoveredCase
3/17	Italy	0	DeadCase
3/17	Italy	0	CurrentCase
3/17	Italy	0	RecoveredCase
3/17	Japan	0	DeadCase
3/17	Japan	0	CurrentCase
3/17	Japan	0	RecoveredCase
3/17	Kuwait	0	DeadCase
3/17	Kuwait	0	CurrentCase
3/17	Kuwait	0	RecoveredCase
3/17	Malaysia	0	DeadCase
3/17	Malaysia	0	CurrentCase
3/17	Malaysia	0	RecoveredCase
3/17	Mongolia	0	DeadCase
3/17	Mongolia	0	CurrentCase
3/17	Mongolia	0	RecoveredCase
3/17	New Zealand	0	DeadCase
3/17	New Zealand	0	CurrentCase
3/17	New Zealand	0	RecoveredCase
3/17	Philippines	0	DeadCase
3/17	Philippines	0	CurrentCase
3/17	Philippines	0	RecoveredCase
3/17	Poland	0	DeadCase
3/17	Poland	0	CurrentCase
3/17	Poland	0	RecoveredCase
3/17	Republic of Ireland	0	DeadCase
3/17	Republic of Ireland	0	CurrentCase
3/17	Republic of Ireland	0	RecoveredCase
3/17	Republic of Korea	0	DeadCase
3/17	Republic of Korea	0	CurrentCase
3/17	Republic of Korea	0	RecoveredCase
3/17	Romania	0	DeadCase
3/17	Romania	0	CurrentCase
3/17	Romania	0	RecoveredCase
3/17	Russian Federation	0	DeadCase
3/17	Russian Federation	0	CurrentCase
3/17	Russian Federation	0	RecoveredCase
3/17	Singapore	0	DeadCase
3/17	Singapore	20	CurrentCase
3/17	Singapore	0	RecoveredCase
3/17	Slovenia	0	DeadCase
3/17	Slovenia	0	CurrentCase
3/17	Slovenia	0	RecoveredCase
3/17	South Africa	0	DeadCase
3/17	South Africa	0	CurrentCase
3/17	South Africa	0	RecoveredCase
3/17	Spain	0	DeadCase
3/17	Spain	0	CurrentCase
3/17	Spain	0	RecoveredCase
3/17	Sweden	0	DeadCase
3/17	Sweden	0	CurrentCase
3/17	Sweden	0	RecoveredCase
3/17	Switzerland	0	DeadCase
3/17	Switzerland	2	CurrentCase
