month,day,date,country,cumulative_number_of_case,number_of_death,number_recovered,current_case
3,17,17-Mar,Germany,1,0,0,1
3,17,17-Mar,Canada,8,2,0,6
3,17,17-Mar,Singapore,20,0,0,20
3,17,17-Mar,China,95,1,0,94
3,17,17-Mar,Switzerland,2,0,0,2
3,17,17-Mar,Thailand,1,0,0,1
3,17,17-Mar,Viet Nam,40,1,0,39
3,18,18-Mar,Germany,2,0,0,2
3,18,18-Mar,Canada,8,2,0,6
3,18,18-Mar,China,123,1,0,122
3,18,18-Mar,Singapore,23,0,0,23
3,18,18-Mar,Taiwan,3,0,0,3
3,18,18-Mar,Thailand,1,0,0,1
3,18,18-Mar,Viet Nam,57,1,0,56
3,18,18-Mar,Slovenia,1,0,0,1
3,18,18-Mar,United Kingdom,1,0,0,1
3,18,18-Mar,Switzerland,7,0,0,7
3,19,19-Mar,Canada,8,2,0,6
3,19,19-Mar,China,150,5,0,145
3,19,19-Mar,Germany,1,0,0,1
3,19,19-Mar,Singapore,31,0,0,31
3,19,19-Mar,Slovenia,1,0,0,1
3,19,19-Mar,Spain,1,0,0,1
3,19,19-Mar,Taiwan,3,0,0,3
3,19,19-Mar,Thailand,1,0,0,1
3,19,19-Mar,United Kingdom,1,0,0,1
3,19,19-Mar,United States,11,0,0,11
3,19,19-Mar,Viet Nam,56,2,0,54
3,19,19-Mar,Switzerland,7,0,0,7
3,20,20-Mar,Canada,9,2,0,7
3,20,20-Mar,China,173,6,0,167
3,20,20-Mar,Germany,1,0,0,1
3,20,20-Mar,Singapore,34,0,0,34
3,20,20-Mar,Slovenia,1,0,0,1
3,20,20-Mar,Spain,1,0,0,1
3,20,20-Mar,Switzerland,7,0,0,7
3,20,20-Mar,Taiwan,4,0,0,4
3,20,20-Mar,Thailand,1,0,0,1
3,20,20-Mar,United Kingdom,2,0,0,2
3,20,20-Mar,United States,11,0,0,11
3,20,20-Mar,Viet Nam,62,2,0,60
3,21,21-Mar,Canada,9,2,0,7
3,21,21-Mar,China,203,6,0,197
3,21,21-Mar,Germany,1,0,0,1
3,21,21-Mar,Italy,1,0,0,1
3,21,21-Mar,Republic of Ireland,1,0,0,1
3,21,21-Mar,Singapore,39,0,0,39
3,21,21-Mar,Slovenia,1,0,0,1
3,21,21-Mar,Spain,1,0,0,1
3,21,21-Mar,Switzerland,7,0,0,7
3,21,21-Mar,Taiwan,6,0,0,6
3,21,21-Mar,Thailand,4,0,0,4
3,21,21-Mar,United Kingdom,2,0,0,2
3,21,21-Mar,United States,13,0,0,13
3,21,21-Mar,Viet Nam,62,2,0,60
3,22,22-Mar,Canada,9,2,0,7
3,22,22-Mar,China,222,7,0,215
3,22,22-Mar,Germany,2,0,0,2
3,22,22-Mar,Italy,2,0,0,2
3,22,22-Mar,Republic of Ireland,1,0,0,1
3,22,22-Mar,Singapore,4,0,0,4
3,22,22-Mar,Spain,1,0,0,1
3,22,22-Mar,Switzerland,7,0,0,7
3,22,22-Mar,Taiwan,6,0,0,6
3,22,22-Mar,Thailand,4,0,0,4
3,22,22-Mar,United Kingdom,2,0,0,2
3,22,22-Mar,United States,22,0,0,22
3,22,22-Mar,Viet Nam,63,2,0,61
3,23,23-Mar,Canada,9,2,0,7
3,23,23-Mar,China,222,7,0,215
3,23,23-Mar,Germany,2,0,0,2
3,23,23-Mar,Italy,2,0,0,2
3,23,23-Mar,Republic of Ireland,1,0,0,1
3,23,23-Mar,Singapore,4,0,0,4
3,23,23-Mar,Spain,1,0,0,1
3,23,23-Mar,Switzerland,7,0,0,7
3,23,23-Mar,Taiwan,6,0,0,6
3,23,23-Mar,Thailand,4,0,0,4
3,23,23-Mar,United Kingdom,2,0,0,2
3,23,23-Mar,United States,22,0,0,22
3,23,23-Mar,Viet Nam,63,2,0,61
3,24,24-Mar,Canada,11,3,0,8
3,24,24-Mar,China,260,10,0,250
3,24,24-Mar,France,1,0,0,1
3,24,24-Mar,Germany,4,0,0,4
3,24,24-Mar,Italy,2,0,0,2
3,24,24-Mar,Republic of Ireland,1,0,0,1
3,24,24-Mar,Singapore,65,0,0,65
3,24,24-Mar,Spain,1,0,0,1
3,24,24-Mar,Switzerland,2,0,0,2
3,24,24-Mar,Taiwan,6,0,0,6
3,24,24-Mar,Thailand,5,0,0,5
3,24,24-Mar,United Kingdom,3,0,0,3
3,24,24-Mar,United States,37,0,0,37
3,24,24-Mar,Viet Nam,58,4,0,54
3,25,25-Mar,Canada,11,3,0,8
3,25,25-Mar,China,286,10,0,276
3,25,25-Mar,France,1,0,0,1
3,25,25-Mar,Germany,4,0,0,4
3,25,25-Mar,Italy,2,0,0,2
3,25,25-Mar,Republic of Ireland,1,0,0,1
3,25,25-Mar,Singapore,69,0,0,69
3,25,25-Mar,Switzerland,2,0,0,2
3,25,25-Mar,Taiwan,6,0,0,6
3,25,25-Mar,Thailand,5,0,0,5
3,25,25-Mar,United Kingdom,3,0,0,3
3,25,25-Mar,United States,39,0,0,39
3,25,25-Mar,Viet Nam,58,4,0,54
3,26,26-Mar,Canada,19,3,0,16
3,26,26-Mar,China,1108,41,0,1067
3,26,26-Mar,Taiwan,6,0,0,6
3,26,26-Mar,France,1,0,0,1
3,26,26-Mar,Germany,4,0,0,4
3,26,26-Mar,Italy,3,0,0,3
3,26,26-Mar,Republic of Ireland,2,0,0,2
3,26,26-Mar,Singapore,74,1,0,73
3,26,26-Mar,Switzerland,2,0,0,2
3,26,26-Mar,Thailand,3,0,0,3
3,26,26-Mar,United Kingdom,3,0,0,3
3,26,26-Mar,United States,40,0,0,40
3,26,26-Mar,Viet Nam,58,4,0,54
3,27,27-Mar,Canada,28,3,0,25
3,27,27-Mar,China,1173,44,0,1129
3,27,27-Mar,Taiwan,6,0,0,6
3,27,27-Mar,France,1,0,0,1
3,27,27-Mar,Germany,4,0,0,4
3,27,27-Mar,Italy,2,0,0,2
3,27,27-Mar,Republic of Ireland,2,0,0,2
3,27,27-Mar,Romania,3,0,0,3
3,27,27-Mar,Singapore,78,2,0,76
3,27,27-Mar,Switzerland,2,0,0,2
3,27,27-Mar,Thailand,3,0,0,3
3,27,27-Mar,United Kingdom,3,0,0,3
3,27,27-Mar,United States,45,0,0,45
3,27,27-Mar,Viet Nam,58,4,0,54
3,28,28-Mar,Canada,29,3,0,26
3,28,28-Mar,China,1231,44,0,1187
3,28,28-Mar,Taiwan,10,0,0,10
3,28,28-Mar,France,1,0,0,1
3,28,28-Mar,Germany,4,0,0,4
3,28,28-Mar,Italy,2,0,0,2
3,28,28-Mar,Republic of Ireland,2,0,0,2
3,28,28-Mar,Romania,3,0,0,3
3,28,28-Mar,Singapore,86,2,0,84
3,28,28-Mar,Switzerland,2,0,0,2
3,28,28-Mar,Thailand,3,0,0,3
3,28,28-Mar,United Kingdom,3,0,0,3
3,28,28-Mar,United States,51,0,0,51
3,28,28-Mar,Viet Nam,58,4,0,54
3,29,29-Mar,Canada,37,3,0,34
3,29,29-Mar,China,1276,44,0,1232
3,29,29-Mar,Taiwan,10,0,0,10
3,29,29-Mar,France,1,0,0,1
3,29,29-Mar,Germany,4,0,0,4
3,29,29-Mar,Italy,2,0,0,2
3,29,29-Mar,Republic of Ireland,2,0,0,2
3,29,29-Mar,Romania,3,0,0,3
3,29,29-Mar,Singapore,89,2,0,87
3,29,29-Mar,Switzerland,3,0,0,3
3,29,29-Mar,Thailand,3,1,0,2
3,29,29-Mar,United Kingdom,3,0,0,3
3,29,29-Mar,United States,59,0,0,59
3,29,29-Mar,Viet Nam,58,4,0,54
3,30,30-Mar,Canada,37,3,0,34
3,30,30-Mar,China,1276,44,0,1232
3,30,30-Mar,Taiwan,10,0,0,10
3,30,30-Mar,France,1,0,0,1
3,30,30-Mar,Germany,4,0,0,4
3,30,30-Mar,Italy,2,0,0,2
3,30,30-Mar,Republic of Ireland,2,0,0,2
3,30,30-Mar,Romania,3,0,0,3
3,30,30-Mar,Singapore,89,2,0,87
3,30,30-Mar,Switzerland,3,0,0,3
3,30,30-Mar,Thailand,3,1,0,2
3,30,30-Mar,United Kingdom,3,0,0,3
3,30,30-Mar,United States,59,0,0,59
3,30,30-Mar,Viet Nam,58,4,0,54
3,31,31-Mar,Canada,44,4,0,40
3,31,31-Mar,China,1336,47,0,1289
3,31,31-Mar,Taiwan,10,0,0,10
3,31,31-Mar,France,1,0,0,1
3,31,31-Mar,Germany,5,0,0,5
3,31,31-Mar,Italy,2,0,0,2
3,31,31-Mar,Republic of Ireland,2,0,0,2
3,31,31-Mar,Romania,3,0,0,3
3,31,31-Mar,Singapore,91,2,0,89
3,31,31-Mar,Switzerland,3,0,0,3
3,31,31-Mar,Thailand,5,1,0,4
3,31,31-Mar,United Kingdom,3,0,0,3
3,31,31-Mar,United States,59,0,0,59
3,31,31-Mar,Viet Nam,58,4,0,54
4,1,1-Apr,Australia,1,0,0,1
4,1,1-Apr,Belgium,1,0,0,1
4,1,1-Apr,Canada,53,4,0,49
4,1,1-Apr,China,1491,50,0,1441
4,1,1-Apr,Taiwan,13,0,0,13
4,1,1-Apr,France,1,0,0,1
4,1,1-Apr,Germany,5,0,0,5
4,1,1-Apr,Italy,3,0,0,3
4,1,1-Apr,Republic of Ireland,2,0,0,2
4,1,1-Apr,Romania,3,0,0,3
4,1,1-Apr,Singapore,92,3,0,89
4,1,1-Apr,Switzerland,3,0,0,3
4,1,1-Apr,Thailand,6,1,0,5
4,1,1-Apr,United Kingdom,3,0,0,3
4,1,1-Apr,United States,69,0,0,69
4,1,1-Apr,Viet Nam,58,4,0,54
4,2,2-Apr,Australia,1,0,0,1
4,2,2-Apr,Belgium,1,0,0,1
4,2,2-Apr,Canada,58,6,0,52
4,2,2-Apr,China,1898,62,0,1836
4,2,2-Apr,Taiwan,13,0,0,13
4,2,2-Apr,France,1,0,0,1
4,2,2-Apr,Germany,5,0,0,5
4,2,2-Apr,Italy,3,0,0,3
4,2,2-Apr,Republic of Ireland,2,0,0,2
4,2,2-Apr,Romania,3,0,0,3
4,2,2-Apr,Singapore,95,4,0,91
4,2,2-Apr,Spain,1,0,0,1
4,2,2-Apr,Switzerland,2,0,0,2
4,2,2-Apr,Thailand,7,2,0,5
4,2,2-Apr,United Kingdom,3,0,0,3
4,2,2-Apr,United States,72,0,0,72
4,2,2-Apr,Viet Nam,58,4,0,54
4,3,3-Apr,Australia,1,0,0,1
4,3,3-Apr,Belgium,1,0,0,1
4,3,3-Apr,Brazil,1,0,0,1
4,3,3-Apr,Canada,62,6,0,56
4,3,3-Apr,China,1924,63,0,1861
4,3,3-Apr,Taiwan,14,0,0,14
4,3,3-Apr,France,3,0,0,3
4,3,3-Apr,Germany,5,0,0,5
4,3,3-Apr,Italy,3,0,0,3
4,3,3-Apr,Republic of Ireland,1,0,0,1
4,3,3-Apr,Romania,1,0,0,1
4,3,3-Apr,Singapore,98,4,0,94
4,3,3-Apr,Switzerland,2,0,0,2
4,3,3-Apr,Thailand,7,2,0,5
4,3,3-Apr,United Kingdom,3,0,0,3
4,3,3-Apr,United States,85,0,0,85
4,3,3-Apr,Viet Nam,59,4,0,55
4,4,4-Apr,Australia,1,0,0,1
4,4,4-Apr,Belgium,1,0,0,1
4,4,4-Apr,Brazil,1,0,0,1
4,4,4-Apr,Canada,69,7,0,62
4,4,4-Apr,China,1981,66,0,1915
4,4,4-Apr,Taiwan,15,0,0,15
4,4,4-Apr,France,3,0,0,3
4,4,4-Apr,Germany,5,0,0,5
4,4,4-Apr,Italy,3,0,0,3
4,4,4-Apr,Republic of Ireland,1,0,0,1
4,4,4-Apr,Romania,1,0,0,1
4,4,4-Apr,Singapore,100,5,0,95
4,4,4-Apr,Spain,1,0,0,1
4,4,4-Apr,Switzerland,2,0,0,2
4,4,4-Apr,Thailand,7,2,0,5
4,4,4-Apr,United Kingdom,3,0,0,3
4,4,4-Apr,United States,100,0,0,100
4,4,4-Apr,Viet Nam,59,4,0,55
4,5,5-Apr,Australia,1,0,0,1
4,5,5-Apr,Belgium,1,0,0,1
4,5,5-Apr,Brazil,1,0,0,1
4,5,5-Apr,Canada,74,7,0,67
4,5,5-Apr,China,2020,69,0,1951
4,5,5-Apr,Taiwan,17,0,0,17
4,5,5-Apr,France,3,0,0,3
4,5,5-Apr,Germany,5,0,0,5
4,5,5-Apr,Italy,3,0,0,3
4,5,5-Apr,Malaysia,1,1,0,0
4,5,5-Apr,Republic of Ireland,1,0,0,1
4,5,5-Apr,Romania,1,0,0,1
4,5,5-Apr,Singapore,101,6,0,95
4,5,5-Apr,Spain,1,0,0,1
4,5,5-Apr,Switzerland,1,0,0,1
4,5,5-Apr,Thailand,7,2,0,5
4,5,5-Apr,United Kingdom,4,0,0,4
4,5,5-Apr,United States,115,0,0,115
4,5,5-Apr,Viet Nam,59,4,0,55
4,6,6-Apr,Australia,1,0,0,1
4,6,6-Apr,Belgium,1,0,0,1
4,6,6-Apr,Brazil,1,0,0,1
