date,country,CumulativeCase,DeadCase,RecoveredCase,CurrentCase
3/17,United States,0,0,0,0
3/17,Australia,0,0,0,0
3/17,Belgium,0,0,0,0
3/17,Brazil,0,0,0,0
3/17,Bulgaria,0,0,0,0
3/17,Canada,8,2,0,6
3/17,China,95,1,0,94
3/17,Colombia,0,0,0,0
3/17,Finland,0,0,0,0
3/17,France,0,0,0,0
3/17,Germany,1,0,0,1
3/17,India,0,0,0,0
3/17,Indonesia,0,0,0,0
3/17,Italy,0,0,0,0
3/17,Japan,0,0,0,0
3/17,Kuwait,0,0,0,0
3/17,Malaysia,0,0,0,0
3/17,Mongolia,0,0,0,0
3/17,New Zealand,0,0,0,0
3/17,Philippines,0,0,0,0
3/17,Poland,0,0,0,0
3/17,Republic of Ireland,0,0,0,0
3/17,Republic of Korea,0,0,0,0
3/17,Romania,0,0,0,0
3/17,Russian Federation,0,0,0,0
3/17,Singapore,20,0,0,20
3/17,Slovenia,0,0,0,0
3/17,South Africa,0,0,0,0
3/17,Spain,0,0,0,0
3/17,Sweden,0,0,0,0
3/17,Switzerland,2,0,0,2
3/17,Taiwan,0,0,0,0
3/17,Thailand,1,0,0,1
3/17,United Kingdom,0,0,0,0
3/17,Viet Nam,40,1,0,39
3/18,United States,0,0,0,0
3/18,Australia,0,0,0,0
3/18,Belgium,0,0,0,0
3/18,Brazil,0,0,0,0
3/18,Bulgaria,0,0,0,0
3/18,Canada,8,2,0,6
3/18,China,123,1,0,122
3/18,Colombia,0,0,0,0
3/18,Finland,0,0,0,0
3/18,France,0,0,0,0
3/18,Germany,2,0,0,2
3/18,India,0,0,0,0
3/18,Indonesia,0,0,0,0
3/18,Italy,0,0,0,0
3/18,Japan,0,0,0,0
3/18,Kuwait,0,0,0,0
3/18,Malaysia,0,0,0,0
3/18,Mongolia,0,0,0,0
3/18,New Zealand,0,0,0,0
3/18,Philippines,0,0,0,0
3/18,Poland,0,0,0,0
3/18,Republic of Ireland,0,0,0,0
3/18,Republic of Korea,0,0,0,0
3/18,Romania,0,0,0,0
3/18,Russian Federation,0,0,0,0
3/18,Singapore,23,0,0,23
3/18,Slovenia,1,0,0,1
3/18,South Africa,0,0,0,0
3/18,Spain,0,0,0,0
3/18,Sweden,0,0,0,0
3/18,Switzerland,7,0,0,7
3/18,Taiwan,3,0,0,3
3/18,Thailand,1,0,0,1
3/18,United Kingdom,1,0,0,1
3/18,Viet Nam,57,1,0,56
3/19,Belgium,0,0,0,0
3/19,Viet Nam,56,2,0,54
3/19,United States,11,0,0,11
3/19,United Kingdom,1,0,0,1
3/19,Thailand,1,0,0,1
3/19,Taiwan,3,0,0,3
3/19,Switzerland,7,0,0,7
3/19,Sweden,0,0,0,0
3/19,Spain,1,0,0,1
3/19,South Africa,0,0,0,0
3/19,Slovenia,1,0,0,1
3/19,Singapore,31,0,0,31
3/19,Russian Federation,0,0,0,0
3/19,Romania,0,0,0,0
3/19,Republic of Korea,0,0,0,0
3/19,Republic of Ireland,0,0,0,0
3/19,Poland,0,0,0,0
3/19,Philippines,0,0,0,0
3/19,New Zealand,0,0,0,0
3/19,Mongolia,0,0,0,0
3/19,Malaysia,0,0,0,0
3/19,Kuwait,0,0,0,0
3/19,Japan,0,0,0,0
3/19,Italy,0,0,0,0
3/19,Indonesia,0,0,0,0
3/19,India,0,0,0,0
3/19,Germany,1,0,0,1
3/19,France,0,0,0,0
3/19,Finland,0,0,0,0
3/19,Colombia,0,0,0,0
3/19,China,150,5,0,145
3/19,Canada,8,2,0,6
3/19,Bulgaria,0,0,0,0
3/19,Brazil,0,0,0,0
3/19,Australia,0,0,0,0
3/20,Viet Nam,62,2,0,60
3/20,Australia,0,0,0,0
3/20,Belgium,0,0,0,0
3/20,Brazil,0,0,0,0
3/20,Bulgaria,0,0,0,0
3/20,Canada,9,2,0,7
3/20,China,173,6,0,167
3/20,Colombia,0,0,0,0
3/20,Finland,0,0,0,0
3/20,France,0,0,0,0
3/20,Germany,1,0,0,1
3/20,India,0,0,0,0
3/20,Indonesia,0,0,0,0
3/20,Italy,0,0,0,0
3/20,Japan,0,0,0,0
3/20,Kuwait,0,0,0,0
3/20,Malaysia,0,0,0,0
3/20,Mongolia,0,0,0,0
3/20,New Zealand,0,0,0,0
3/20,Philippines,0,0,0,0
3/20,Poland,0,0,0,0
3/20,Republic of Ireland,0,0,0,0
3/20,Republic of Korea,0,0,0,0
3/20,Romania,0,0,0,0
3/20,Russian Federation,0,0,0,0
3/20,Singapore,34,0,0,34
3/20,Slovenia,1,0,0,1
3/20,South Africa,0,0,0,0
3/20,Spain,1,0,0,1
3/20,Sweden,0,0,0,0
3/20,Switzerland,7,0,0,7
3/20,Taiwan,4,0,0,4
3/20,Thailand,1,0,0,1
3/20,United Kingdom,2,0,0,2
3/20,United States,11,0,0,11
3/21,United States,13,0,0,13
3/21,Brazil,0,0,0,0
3/21,Australia,0,0,0,0
3/21,Viet Nam,62,2,0,60
3/21,Bulgaria,0,0,0,0
3/21,Canada,9,2,0,7
3/21,China,203,6,0,197
3/21,Colombia,0,0,0,0
3/21,Finland,0,0,0,0
3/21,France,0,0,0,0
3/21,Germany,1,0,0,1
3/21,India,0,0,0,0
3/21,Indonesia,0,0,0,0
3/21,Italy,1,0,0,1
3/21,Japan,0,0,0,0
3/21,Kuwait,0,0,0,0
3/21,Malaysia,0,0,0,0
3/21,Mongolia,0,0,0,0
3/21,New Zealand,0,0,0,0
3/21,Philippines,0,0,0,0
3/21,Poland,0,0,0,0
3/21,Republic of Ireland,1,0,0,1
3/21,Republic of Korea,0,0,0,0
3/21,Romania,0,0,0,0
3/21,Russian Federation,0,0,0,0
3/21,Singapore,39,0,0,39
3/21,Slovenia,1,0,0,1
3/21,South Africa,0,0,0,0
3/21,Spain,1,0,0,1
3/21,Sweden,0,0,0,0
3/21,Switzerland,7,0,0,7
3/21,Taiwan,6,0,0,6
3/21,Thailand,4,0,0,4
3/21,United Kingdom,2,0,0,2
3/21,Belgium,0,0,0,0
3/22,Taiwan,6,0,0,6
3/22,United Kingdom,2,0,0,2
3/22,United States,22,0,0,22
3/22,Viet Nam,63,2,0,61
3/22,Australia,0,0,0,0
3/22,Belgium,0,0,0,0
3/22,Brazil,0,0,0,0
3/22,Bulgaria,0,0,0,0
3/22,Canada,9,2,0,7
3/22,China,222,7,0,215
3/22,Colombia,0,0,0,0
3/22,Finland,0,0,0,0
3/22,France,0,0,0,0
3/22,Germany,2,0,0,2
3/22,India,0,0,0,0
3/22,Indonesia,0,0,0,0
3/22,Italy,2,0,0,2
3/22,Japan,0,0,0,0
3/22,Kuwait,0,0,0,0
3/22,Malaysia,0,0,0,0
