date,CumulativeCase,DeadCase,RecoveredCase,CurrentCase
3/17,167,4,0,163
3/18,226,4,0,222
3/19,271,9,0,262
3/20,306,10,0,296
3/21,350,10,0,340
3/22,345,11,0,334
3/23,345,11,0,334
3/24,456,17,0,439
3/25,487,17,0,470
3/26,1323,49,0,1274
3/27,1408,53,0,1355
3/28,1485,53,0,1432
3/29,1550,54,0,1496
3/30,1550,54,0,1496
3/31,1622,58,0,1564
4/01,1804,62,0,1742
4/02,2223,78,0,2145
4/03,2270,79,0,2191
4/04,2353,84,0,2269
4/05,2416,89,0,2327
4/06,2416,89,0,2327
4/07,2601,98,0,2503
4/08,2671,103,0,2568
4/09,2722,106,0,2616
4/10,2781,111,1337,1333
4/11,2890,116,1373,1401
4/12,2960,119,1425,1416
4/13,2960,119,1425,1416
4/14,3169,144,1499,1526
4/15,3235,154,1515,1566
4/16,3293,159,1548,1586
4/17,3389,165,1597,1627
4/18,3547,182,1749,1617
4/19,3547,182,1749,1617
4/20,3547,182,1749,1617
4/21,3861,217,1873,1771
4/22,3947,229,1935,1783
4/23,4288,251,2032,2005
4/24,4439,263,2117,2059
4/25,4649,274,2206,2169
4/26,4836,293,2239,2304
4/27,4836,293,2239,2304
4/28,5050,321,2342,2387
4/29,5462,353,2427,2682
4/30,5663,372,2470,2821
5/01,5865,391,2563,2911
5/02,6054,417,2643,2994
5/03,6234,435,2702,3097
5/04,6234,435,2702,3097
5/05,6583,461,2764,3358
5/06,6727,478,2826,3423
5/07,6903,495,2885,3523
5/08,7053,506,2959,3588
5/09,7182,514,3023,3645
5/10,7296,526,3087,3683
5/11,7296,526,3087,3683
5/12,7447,552,3195,3700
5/13,7530,573,3298,3659
5/14,7628,587,3397,3644
5/15,7699,598,3484,3617
5/16,7739,611,3590,3538
5/17,7761,623,3674,3464
5/18,7761,623,3674,3464
5/19,7864,640,3847,3377
5/20,7919,662,3984,3273
5/21,7955,666,4085,3204
5/22,8046,682,4210,3154
5/23,8117,689,4326,3102
5/24,8141,696,4438,3007
5/25,8141,696,4438,3007
5/26,8202,725,4662,2815
5/27,8221,735,4787,2699
5/28,8240,745,4891,2604
5/29,8295,750,4994,2551
5/30,8344,754,5129,2461
5/31,8360,764,5264,2332
6/01,8360,764,5264,2332
6/02,8384,770,5402,2212
6/03,8398,772,5475,2151
6/04,8402,772,5746,1884
6/05,8403,775,5830,1798
6/06,8404,779,5937,1688
6/07,8404,779,5937,1688
6/08,8404,779,5937,1688
6/09,8421,784,6280,1357
6/10,8430,789,6457,1184
6/11,8435,789,6581,1065
6/12,8445,790,6670,985
6/13,8454,792,6793,869
6/14,8454,792,6793,869
6/15,8454,792,6793,869
6/16,8460,799,6989,672
6/17,8464,799,7091,574
6/18,8465,801,7148,516
6/19,8462,804,7178,480
6/20,8461,804,7218,439
6/21,8461,804,7218,439
6/22,8461,804,7218,439
6/23,8459,805,7324,330
6/24,8458,807,7348,303
6/25,8460,808,7365,287
6/26,8456,809,7371,276
6/27,8450,810,7401,239
6/28,8450,810,7401,239
6/29,8450,810,7401,239
6/30,8447,811,7417,219
7/01,8445,812,7422,211
7/02,8442,812,7424,206
7/03,8439,812,7427,200
7/04,8439,812,7431,196
7/05,8439,812,7431,196
7/06,8439,812,7431,196
7/07,8439,812,7431,196
7/08,8436,812,7433,191
7/09,8436,812,7443,181
7/10,8437,812,7449,176
7/11,8437,813,7452,172
