date	value	key
3/17	4	DeadCase
3/17	163	CurrentCase
3/17	0	RecoveredCase
3/18	4	DeadCase
3/18	222	CurrentCase
3/18	0	RecoveredCase
3/19	9	DeadCase
3/19	262	CurrentCase
3/19	0	RecoveredCase
3/20	10	DeadCase
3/20	296	CurrentCase
3/20	0	RecoveredCase
3/21	10	DeadCase
3/21	340	CurrentCase
3/21	0	RecoveredCase
3/22	11	DeadCase
3/22	334	CurrentCase
3/22	0	RecoveredCase
3/23	11	DeadCase
3/23	334	CurrentCase
3/23	0	RecoveredCase
3/24	17	DeadCase
3/24	439	CurrentCase
3/24	0	RecoveredCase
3/25	17	DeadCase
3/25	470	CurrentCase
3/25	0	RecoveredCase
3/26	49	DeadCase
3/26	1274	CurrentCase
3/26	0	RecoveredCase
3/27	53	DeadCase
3/27	1355	CurrentCase
3/27	0	RecoveredCase
3/28	53	DeadCase
3/28	1432	CurrentCase
3/28	0	RecoveredCase
3/29	54	DeadCase
3/29	1496	CurrentCase
3/29	0	RecoveredCase
3/30	54	DeadCase
3/30	1496	CurrentCase
3/30	0	RecoveredCase
3/31	58	DeadCase
3/31	1564	CurrentCase
3/31	0	RecoveredCase
4/01	62	DeadCase
4/01	1742	CurrentCase
4/01	0	RecoveredCase
4/02	78	DeadCase
4/02	2145	CurrentCase
4/02	0	RecoveredCase
4/03	79	DeadCase
4/03	2191	CurrentCase
4/03	0	RecoveredCase
4/04	84	DeadCase
4/04	2269	CurrentCase
4/04	0	RecoveredCase
4/05	89	DeadCase
4/05	2327	CurrentCase
4/05	0	RecoveredCase
4/06	89	DeadCase
4/06	2327	CurrentCase
4/06	0	RecoveredCase
4/07	98	DeadCase
4/07	2503	CurrentCase
4/07	0	RecoveredCase
4/08	103	DeadCase
4/08	2568	CurrentCase
4/08	0	RecoveredCase
4/09	106	DeadCase
4/09	2616	CurrentCase
4/09	0	RecoveredCase
4/10	111	DeadCase
4/10	1333	CurrentCase
4/10	1337	RecoveredCase
4/11	116	DeadCase
4/11	1401	CurrentCase
4/11	1373	RecoveredCase
4/12	119	DeadCase
4/12	1416	CurrentCase
4/12	1425	RecoveredCase
4/13	119	DeadCase
4/13	1416	CurrentCase
4/13	1425	RecoveredCase
4/14	144	DeadCase
4/14	1526	CurrentCase
4/14	1499	RecoveredCase
4/15	154	DeadCase
4/15	1566	CurrentCase
4/15	1515	RecoveredCase
4/16	159	DeadCase
4/16	1586	CurrentCase
4/16	1548	RecoveredCase
4/17	165	DeadCase
4/17	1627	CurrentCase
4/17	1597	RecoveredCase
4/18	182	DeadCase
4/18	1617	CurrentCase
4/18	1749	RecoveredCase
4/19	182	DeadCase
4/19	1617	CurrentCase
4/19	1749	RecoveredCase
4/20	182	DeadCase
4/20	1617	CurrentCase
4/20	1749	RecoveredCase
4/21	217	DeadCase
4/21	1771	CurrentCase
4/21	1873	RecoveredCase
4/22	229	DeadCase
